,title,category,composer,year,epoch,country,stars
206,"Symphony No. 3 (Symphony of Sorrowful Songs), Op. 36",Symphony,Henryk Górecki,1976,Post-War,Poland,25
207,"Ave Maria (Ellens Gesang III), D. 839",Lieder / Song,Franz Schubert,1825,Early Romantic,Austria,25
208,"Sonatas and Partitas for Solo Violin, BWV 1001–1006",String solo,Johann Sebastian Bach,1720,Baroque,Germany,25
209,"Symphony No. 2 in D Major, Op. 43",Symphony,Jean Sibelius,1902,Late Romantic,Finland,25
210,"Symphony No. 8 in F Major, Op. 93",Symphony,Ludwig van Beethoven,1812,Early Romantic,Germany,25
211,"Piano Sonata No. 21 in C Major (Waldstein), Op. 53",Piano Sonata,Ludwig van Beethoven,1804,Early Romantic,Germany,25
212,"Piano Sonata No. 16 in C Major (Sonata facile), K. 545",Piano Sonata,Wolfgang Amadeus Mozart,1788,Classical,Austria,25
213,"Piano Concerto No. 4 in G Major, Op. 58",Piano Concerto,Ludwig van Beethoven,1806,Early Romantic,Germany,24
214,"Piano Sonata No. 29 in B-flat Major (Hammerklavier), Op. 106",Piano Sonata,Ludwig van Beethoven,1818,Early Romantic,Germany,24
215,"Symphony No. 3 in A Minor (Scottish), Op. 56",Symphony,Felix Mendelssohn,1842,Romantic,Germany,24
216,"Mephisto Waltz No. 1, S. 514",Piano Sonata,Franz Liszt,1861,Romantic,Hungary,24
217,"Dixit Dominus, HWV 232",Choral orchestral,George Frideric Handel,1707,Baroque,Germany,23
218,"Erlkönig, D. 328",Lieder / Song,Franz Schubert,1815,Early Romantic,Austria,23
219,"Symphony No. 10 in E Minor, Op. 93",Symphony,Dmitri Shostakovich,1953,20th Century,Russia,22
220,Fratres,Violin Sonata,Arvo Pärt,1977,Post-War,Estonia,22
221,"Marche Slave (Slavonic March), Op. 31",Unsorted Orchestral,Pyotr Ilyich Tchaikovsky,1876,Romantic,Russia,22
222,Scherzi,Piano Sonata,Frédéric Chopin,1842,Romantic,Poland,22
223,Suite for Jazz Orchestra No. 2,Unsorted Orchestral,Dmitri Shostakovich,1938,20th Century,Russia,22
224,"Symphony No. 3 in C Minor (Organ Symphony), Op. 78",Symphony,Camille Saint-Saëns,1886,Romantic,France,22
225,"Symphony No. 3 in F Major, Op. 90",Symphony,Johannes Brahms,1883,Romantic,Germany,21
226,"Symphony No. 94 in G Major (Surprise Symphony), H. 1/94",Symphony,Joseph Haydn,1791,Classical,Austria,21
227,"Transcendental Études (Études d'exécution transcendante), S. 139",Piano Sonata,Franz Liszt,1852,Romantic,Hungary,21
228,"Symphony No. 4 (The Poem of Ecstasy), Op. 54",Symphony,Alexander Scriabin,1908,Late Romantic,Russia,21
229,"Gloria, RV 589",Choral orchestral,Antonio Vivaldi,-1,Baroque,Italy,20
230,"Piano Concerto No. 3 in C Major, Op. 26",Piano Concerto,Sergei Prokofiev,1921,20th Century,Russia,20
231,"Piano Concerto No. 3 in C Minor, Op. 37",Piano Concerto,Ludwig van Beethoven,1800,Early Romantic,Germany,20
232,"Symphony No. 38 in D Major (Prague Symphony), K. 504",Symphony,Wolfgang Amadeus Mozart,1786,Classical,Austria,20
233,"Lute Concerto in D Major, RV 93",Unsorted Orchestral,Antonio Vivaldi,-1,Baroque,Italy,20
234,"Piano Sonata No. 5, Op. 53",Piano Sonata,Alexander Scriabin,1907,Late Romantic,Russia,20
235,"Valse Triste, Op. 44 No. 1",Unsorted Orchestral,Jean Sibelius,1903,Late Romantic,Finland,20
236,Petrushka,Ballet,Igor Stravinsky,1911,20th Century,Russia,19
237,An American in Paris,Symphonic Poem,George Gershwin,1928,20th Century,United States,19
238,"Piano Concerto in A Minor, Op. 54",Piano Concerto,Robert Schumann,1845,Romantic,Germany,19
239,Stabat Mater,Choral orchestral,Giovanni Battista Pergolesi,1736,Baroque,Italy,19
240,"Pomp and Circumstance Marches, Op. 39",Unsorted Orchestral,Edward Elgar,1907,Late Romantic,England,19
241,"Humoresques, Op. 101 (B. 187)",Piano Sonata,Antonín Dvořák,1894,Romantic,Czech Republic,19
242,"Piano Concerto No. 2 in F Minor, Op. 21",Piano Concerto,Frédéric Chopin,1830,Romantic,Poland,18
243,"Missa solemnis in D Major, Op. 123",Mass / Requiem,Ludwig van Beethoven,1823,Early Romantic,Germany,18
244,"Music for the Royal Fireworks, HWV 351",Unsorted Orchestral,George Frideric Handel,1749,Baroque,Germany,18
245,Glassworks,Piano Sonata,Philip Glass,1981,Post-War,United States,18
246,"Symphony No. 7 in D Minor, Op. 70, B. 141",Symphony,Antonín Dvořák,1885,Romantic,Czech Republic,18
247,"Piano Sonata No. 17 in D Minor (The Tempest), Op. 31 No. 2",Piano Sonata,Ludwig van Beethoven,1802,Early Romantic,Germany,18
248,"A Midsummer Night's Dream Overture, Op. 21",Unsorted Orchestral,Felix Mendelssohn,1826,Romantic,Germany,17
249,"Lohengrin, WWV 75",Opera,Richard Wagner,1850,Romantic,Germany,17
250,"Piano Trio No. 2 in E-flat Major, D. 929",Piano Trio,Franz Schubert,1827,Early Romantic,Austria,17
251,"String Quartets, Op. 76",String Quartet,Joseph Haydn,1797,Classical,Austria,17
252,"Winterreise, D. 911",Lieder / Song,Franz Schubert,1827,Early Romantic,Austria,17
253,Songs Without Words (Lieder ohne Worte),Piano Sonata,Felix Mendelssohn,1845,Romantic,Germany,17
